Sample in Buffer	Sample in Window	ADC4_D
0	0	-252	
1	1	-173	
2	2	-1423	
3	3	-598	
4	4	6	
5	5	-438	
6	6	267	
7	7	1441	
8	8	1337	
9	9	951	
10	10	-413	
11	11	-828	
12	12	1411	
13	13	481	
14	14	808	
15	15	2643	
16	16	2475	
17	17	302	
18	18	511	
19	19	-273	
20	20	-1854	
21	21	-2370	
22	22	-1574	
23	23	-1088	
24	24	-1342	
25	25	-1073	
26	26	-2347	
27	27	-3608	
28	28	-2417	
29	29	-1095	
30	30	-561	
31	31	-1263	
32	32	-1729	
33	33	153	
34	34	1357	
35	35	1961	
36	36	1275	
37	37	2911	
38	38	1602	
39	39	1433	
40	40	861	
41	41	171	
42	42	472	
43	43	-496	
44	44	134	
45	45	-976	
46	46	-109	
47	47	-1050	
48	48	-388	
49	49	-968	
50	50	-540	
51	51	-992	
52	52	-870	
53	53	-855	
54	54	-907	
55	55	-888	
56	56	-1027	
57	57	-796	
58	58	-1054	
59	59	-566	
60	60	-798	
61	61	-463	
62	62	-558	
63	63	-288	
64	64	-279	
65	65	53	
66	66	161	
67	67	575	
68	68	748	
69	69	1091	
70	70	1450	
71	71	1853	
72	72	2243	
73	73	2609	
74	74	2886	
75	75	3199	
76	76	3470	
77	77	3674	
78	78	3760	
79	79	3745	
80	80	3582	
81	81	3139	
82	82	2664	
83	83	1789	
84	84	882	
85	85	-411	
86	86	-1668	
87	87	-2926	
88	88	-4075	
89	89	-4988	
90	90	-5523	
91	91	-5777	
92	92	-5534	
93	93	-4826	
94	94	-3666	
95	95	-2259	
96	96	-637	
97	97	1036	
98	98	2455	
99	99	3385	
100	100	3887	
101	101	3659	
102	102	2613	
103	103	966	
104	104	-846	
105	105	-2530	
106	106	-3534	
107	107	-3452	
108	108	-2531	
109	109	-995	
110	110	886	
111	111	2388	
112	112	3407	
113	113	3435	
114	114	2502	
115	115	734	
116	116	-1232	
117	117	-2375	
118	118	-2274	
119	119	-1020	
120	120	660	
121	121	2235	
122	122	3071	
123	123	2741	
124	124	1218	
125	125	-622	
126	126	-1894	
127	127	-1744	
128	128	-503	
129	129	1216	
130	130	2421	
131	131	2331	
132	132	1020	
133	133	-842	
134	134	-1801	
135	135	-1342	
136	136	209	
137	137	1731	
138	138	2075	
139	139	1007	
140	140	-833	
141	141	-1857	
142	142	-1154	
143	143	304	
144	144	1643	
145	145	1486	
146	146	-207	
147	147	-1825	
148	148	-1723	
149	149	-212	
150	150	1163	
151	151	1157	
152	152	-332	
153	153	-1795	
154	154	-1617	
155	155	-15	
156	156	1186	
157	157	665	
158	158	-1064	
159	159	-1865	
160	160	-817	
161	161	758	
162	162	986	
163	163	-544	
164	164	-1861	
165	165	-1043	
166	166	636	
167	167	1019	
168	168	-467	
169	169	-1640	
170	170	-856	
171	171	756	
172	172	871	
173	173	-659	
174	174	-1513	
175	175	-190	
176	176	1074	
177	177	531	
178	178	-1202	
179	179	-960	
180	180	757	
181	181	1123	
182	182	-409	
183	183	-1156	
184	184	210	
185	185	1276	
186	186	249	
187	187	-1154	
188	188	-14	
189	189	1420	
190	190	493	
191	191	-1013	
192	192	-175	
193	193	1319	
194	194	487	
195	195	-955	
196	196	108	
197	197	1375	
198	198	255	
199	199	-996	
200	200	432	
201	201	1349	
202	202	-113	
203	203	-756	
204	204	977	
205	205	1023	
206	206	-761	
207	207	-243	
208	208	1249	
209	209	143	
210	210	-1010	
211	211	508	
212	212	1019	
213	213	-869	
214	214	-344	
215	215	1071	
216	216	-157	
217	217	-1087	
218	218	611	
219	219	478	
220	220	-1145	
221	221	131	
222	222	747	
223	223	-1056	
224	224	-510	
225	225	875	
226	226	-779	
227	227	-849	
228	228	772	
229	229	-558	
230	230	-1040	
231	231	711	
232	232	-392	
233	233	-1073	
234	234	641	
235	235	-319	
236	236	-1111	
237	237	718	
238	238	-360	
239	239	-1011	
240	240	689	
241	241	-537	
242	242	-821	
243	243	858	
244	244	-678	
245	245	-518	
246	246	871	
247	247	-923	
248	248	-2	
249	249	693	
250	250	-987	
251	251	567	
252	252	322	
253	253	-778	
254	254	1010	
255	255	-157	
256	256	-102	
257	257	1151	
258	258	-610	
259	259	678	
260	260	664	
261	261	-485	
262	262	1238	
263	263	-199	
264	264	285	
265	265	1070	
266	266	-422	
267	267	1167	
268	268	152	
269	269	226	
270	270	1200	
271	271	-359	
272	272	1223	
273	273	145	
274	274	381	
275	275	971	
276	276	-210	
277	277	1225	
278	278	-198	
279	279	708	
280	280	497	
281	281	-30	
282	282	1014	
283	283	-487	
284	284	945	
285	285	-192	
286	286	295	
287	287	314	
288	288	-342	
289	289	634	
290	290	-682	
291	291	616	
292	292	-801	
293	293	301	
294	294	-609	
295	295	-101	
296	296	-253	
297	297	-622	
298	298	-74	
299	299	-900	
300	300	-133	
301	301	-1120	
302	302	-264	
303	303	-1149	
304	304	-484	
305	305	-1053	
306	306	-749	
307	307	-1048	
308	308	-1043	
309	309	-977	
310	310	-987	
311	311	-877	
312	312	-1110	
313	313	-757	
314	314	-1085	
315	315	-743	
316	316	-894	
317	317	-542	
318	318	-28	
319	319	1983	
320	320	2070	
321	321	12	
322	322	353	
323	323	-201	
324	324	-1898	
325	325	-2272	
326	326	-1605	
327	327	-1000	
328	328	-1281	
329	329	-1010	
330	330	-2239	
331	331	-3662	
332	332	-2449	
333	333	-1069	
334	334	-618	
335	335	-1215	
336	336	-1634	
337	337	157	
338	338	1552	
339	339	2034	
340	340	1431	
341	341	2904	
342	342	2667	
343	343	2825	
344	344	3690	
345	345	2275	
346	346	3133	
347	347	3675	
348	348	3176	
349	349	971	
350	350	402	
351	351	749	
352	352	926	
353	353	-156	
354	354	-2374	
355	355	-2511	
356	356	-2011	
357	357	-2107	
358	358	-964	
359	359	-1045	
360	360	-2087	
361	361	-2681	
362	362	-1867	
363	363	-1946	
364	364	-2638	
365	365	-67	
366	366	1557	
367	367	796	
368	368	1336	
369	369	2615	
370	370	506	
371	371	-221	
372	372	58	
373	373	433	
374	374	1586	
375	375	1142	
376	376	768	
377	377	1252	
378	378	576	
379	379	-841	
380	380	80	
381	381	-136	
382	382	-366	
383	383	-473	
384	384	-991	
385	385	-868	
386	386	265	
387	387	735	
388	388	-562	
389	389	-716	
390	390	-146	
391	391	190	
392	392	989	
393	393	-144	
394	394	187	
395	395	-253	
396	396	-503	
397	397	-1039	
398	398	-2031	
399	399	-1712	
400	400	-421	
401	401	707	
402	402	1249	
403	403	982	
404	404	-834	
405	405	-1045	
406	406	-2664	
407	407	-954	
408	408	-920	
409	409	305	
410	410	3479	
411	411	2938	
412	412	1342	
413	413	313	
414	414	1403	
415	415	1217	
416	416	820	
417	417	899	
418	418	885	
419	419	25	
420	420	-762	
421	421	1851	
422	422	2558	
423	423	1667	
424	424	674	
425	425	-47	
426	426	-443	
427	427	-129	
428	428	-206	
429	429	-1546	
430	430	50	
431	431	1140	
432	432	-205	
433	433	2252	
434	434	2512	
435	435	-252	
436	436	-512	
437	437	-1494	
438	438	63	
439	439	-1733	
440	440	-1749	
441	441	-834	
442	442	-1150	
443	443	-277	
444	444	-1411	
445	445	-2415	
446	446	-1898	
447	447	-665	
448	448	-455	
449	449	-2255	
450	450	-2973	
451	451	-2356	
452	452	-1291	
453	453	715	
454	454	1354	
455	455	1339	
456	456	1594	
457	457	1622	
458	458	235	
459	459	1042	
460	460	1470	
461	461	-110	
462	462	-572	
463	463	-1539	
464	464	-2516	
465	465	-1357	
466	466	-1904	
467	467	-1823	
468	468	1086	
469	469	1693	
470	470	4017	
471	471	5444	
472	472	5286	
473	473	5753	
474	474	3278	
475	475	2168	
476	476	1534	
477	477	-785	
478	478	-1283	
479	479	-1973	
480	480	-2171	
481	481	-345	
482	482	-197	
483	483	-886	
484	484	307	
485	485	368	
486	486	668	
487	487	1814	
488	488	2545	
489	489	1922	
490	490	915	
491	491	-1284	
492	492	-2276	
493	493	-1045	
494	494	-482	
495	495	-1277	
496	496	-2423	
497	497	-2268	
498	498	-1016	
499	499	-1438	
500	500	-514	
501	501	-1734	
502	502	-1888	
503	503	5	
504	504	-1698	
505	505	-1970	
506	506	-2986	
507	507	50	
508	508	1306	
509	509	-71	
510	510	2023	
511	511	1624	
512	512	-70	
513	513	649	
514	514	212	
515	515	-500	
516	516	-786	
517	517	-1261	
518	518	-667	
519	519	1535	
520	520	2668	
521	521	580	
522	522	549	
523	523	763	
524	524	502	
525	525	362	
526	526	975	
527	527	1509	
528	528	-304	
529	529	-706	
530	530	766	
531	531	3279	
532	532	2508	
533	533	2288	
534	534	2049	
535	535	-578	
536	536	-848	
537	537	-2381	
538	538	-1068	
539	539	-3	
540	540	1020	
541	541	1209	
542	542	213	
543	543	-961	
544	544	-1114	
545	545	-1329	
546	546	-1220	
547	547	-952	
548	548	-1403	
549	549	323	
550	550	373	
551	551	446	
552	552	-575	
553	553	-929	
554	554	459	
555	555	523	
556	556	-100	
557	557	-444	
558	558	-524	
559	559	-664	
560	560	-265	
561	561	-216	
562	562	-1616	
563	563	-614	
564	564	-26	
565	565	-429	
566	566	258	
567	567	1441	
568	568	1369	
569	569	1042	
570	570	-422	
571	571	-772	
572	572	1395	
573	573	507	
574	574	739	
575	575	2625	
576	576	2465	
577	577	304	
578	578	478	
579	579	-237	
580	580	-1870	
581	581	-2380	
582	582	-1604	
583	583	-1073	
584	584	-1370	
585	585	-1028	
586	586	-2311	
587	587	-3618	
588	588	-2496	
589	589	-1064	
590	590	-612	
591	591	-1258	
592	592	-1793	
593	593	63	
594	594	1440	
595	595	1926	
596	596	1334	
597	597	3011	
598	598	1626	
599	599	1369	
600	600	919	
601	601	196	
602	602	385	
603	603	-546	
604	604	11	
605	605	-985	
606	606	-207	
607	607	-1046	
608	608	-486	
609	609	-1085	
610	610	-690	
611	611	-983	
612	612	-940	
613	613	-1013	
614	614	-1036	
615	615	-814	
616	616	-1043	
617	617	-779	
618	618	-1016	
619	619	-710	
620	620	-856	
621	621	-493	
622	622	-581	
623	623	-209	
624	624	-267	
625	625	120	
626	626	234	
627	627	619	
628	628	762	
629	629	1129	
630	630	1521	
631	631	1865	
632	632	2219	
633	633	2606	
634	634	2876	
635	635	3152	
636	636	3564	
637	637	3664	
638	638	3727	
639	639	3670	
640	640	3571	
641	641	3149	
642	642	2620	
643	643	1781	
644	644	881	
645	645	-389	
646	646	-1654	
647	647	-2968	
648	648	-4019	
649	649	-5006	
650	650	-5500	
651	651	-5775	
652	652	-5480	
653	653	-4839	
654	654	-3702	
655	655	-2277	
656	656	-573	
657	657	933	
658	658	2441	
659	659	3451	
660	660	3938	
661	661	3587	
662	662	2603	
663	663	1077	
664	664	-822	
665	665	-2453	
666	666	-3450	
667	667	-3525	
668	668	-2578	
669	669	-1029	
670	670	764	
671	671	2416	
672	672	3309	
673	673	3473	
674	674	2397	
675	675	709	
676	676	-1195	
677	677	-2327	
678	678	-2209	
679	679	-1120	
680	680	583	
681	681	2183	
682	682	3072	
683	683	2664	
684	684	1178	
685	685	-768	
686	686	-1944	
687	687	-1819	
688	688	-470	
689	689	1242	
690	690	2429	
691	691	2463	
692	692	964	
693	693	-819	
694	694	-1855	
695	695	-1331	
696	696	250	
697	697	1623	
698	698	2026	
699	699	903	
700	700	-854	
701	701	-1880	
702	702	-1186	
703	703	387	
704	704	1544	
705	705	1407	
706	706	-155	
707	707	-1790	
708	708	-1710	
709	709	-259	
710	710	1181	
711	711	1200	
712	712	-272	
713	713	-1835	
714	714	-1576	
715	715	26	
716	716	1283	
717	717	619	
718	718	-1066	
719	719	-1935	
720	720	-825	
721	721	771	
722	722	868	
723	723	-504	
724	724	-1700	
725	725	-1022	
726	726	574	
727	727	993	
728	728	-436	
729	729	-1715	
730	730	-836	
731	731	783	
732	732	931	
733	733	-665	
734	734	-1547	
735	735	-256	
736	736	1163	
737	737	492	
738	738	-1234	
739	739	-1056	
740	740	735	
741	741	1144	
742	742	-513	
743	743	-1142	
744	744	269	
745	745	1363	
746	746	186	
747	747	-1008	
748	748	-5	
749	749	1388	
750	750	590	
751	751	-1004	
752	752	-25	
753	753	1390	
754	754	455	
755	755	-923	
756	756	115	
757	757	1361	
758	758	306	
759	759	-921	
760	760	427	
761	761	1387	
762	762	-101	
763	763	-786	
764	764	920	
765	765	1017	
766	766	-674	
767	767	-250	
768	768	1268	
769	769	161	
770	770	-898	
771	771	631	
772	772	1067	
773	773	-764	
774	774	-310	
775	775	1128	
776	776	-125	
777	777	-955	
778	778	655	
779	779	500	
780	780	-1253	
781	781	147	
782	782	751	
783	783	-1008	
784	784	-372	
785	785	912	
786	786	-690	
787	787	-783	
788	788	850	
789	789	-505	
790	790	-1073	
791	791	752	
792	792	-431	
793	793	-1129	
794	794	622	
795	795	-354	
796	796	-1073	
797	797	704	
798	798	-363	
799	799	-1104	
800	800	820	
801	801	-512	
802	802	-854	
803	803	846	
804	804	-722	
805	805	-470	
806	806	870	
807	807	-875	
808	808	-5	
809	809	659	
810	810	-985	
811	811	527	
812	812	315	
813	813	-828	
814	814	1093	
815	815	-205	
816	816	-62	
817	817	1162	
818	818	-538	
819	819	775	
820	820	635	
821	821	-418	
822	822	1335	
823	823	-56	
824	824	389	
825	825	1017	
826	826	-382	
827	827	1188	
828	828	268	
829	829	303	
830	830	1220	
831	831	-413	
832	832	1295	
833	833	128	
834	834	418	
835	835	1043	
836	836	-261	
837	837	1230	
838	838	-97	
839	839	725	
840	840	523	
841	841	-80	
842	842	1087	
843	843	-396	
844	844	896	
845	845	-249	
846	846	372	
847	847	440	
848	848	-314	
849	849	696	
850	850	-697	
851	851	636	
852	852	-721	
853	853	381	
854	854	-449	
855	855	-117	
856	856	-304	
857	857	-589	
858	858	-80	
859	859	-922	
860	860	-84	
861	861	-1076	
862	862	-275	
863	863	-1104	
864	864	-565	
865	865	-1074	
866	866	-730	
867	867	-1066	
868	868	-939	
869	869	-902	
870	870	-1020	
871	871	-861	
872	872	-1103	
873	873	-861	
874	874	-1057	
875	875	-616	
876	876	-828	
877	877	-588	
878	878	80	
879	879	1963	
880	880	2092	
881	881	82	
882	882	336	
883	883	-291	
884	884	-1772	
885	885	-2348	
886	886	-1536	
887	887	-1007	
888	888	-1168	
889	889	-1030	
890	890	-2263	
891	891	-3631	
892	892	-2418	
893	893	-1049	
894	894	-522	
895	895	-1218	
896	896	-1670	
897	897	200	
898	898	1474	
899	899	1968	
900	900	1495	
901	901	2977	
902	902	2683	
903	903	2805	
904	904	3666	
905	905	2361	
906	906	3145	
907	907	3756	
908	908	3216	
909	909	981	
910	910	405	
911	911	770	
912	912	939	
913	913	-304	
914	914	-2362	
915	915	-2508	
916	916	-2092	
917	917	-2127	
918	918	-1021	
919	919	-1099	
920	920	-2098	
921	921	-2646	
922	922	-1751	
923	923	-1872	
924	924	-2558	
925	925	-78	
926	926	1519	
927	927	809	
928	928	1325	
929	929	2719	
930	930	558	
931	931	-229	
932	932	78	
933	933	481	
934	934	1650	
935	935	1207	
936	936	697	
937	937	1331	
938	938	580	
939	939	-773	
940	940	62	
941	941	-213	
942	942	-332	
943	943	-340	
944	944	-905	
945	945	-846	
946	946	147	
947	947	703	
948	948	-600	
949	949	-723	
950	950	-200	
951	951	296	
952	952	1087	
953	953	-233	
954	954	150	
955	955	-389	
956	956	-526	
957	957	-1072	
958	958	-1950	
959	959	-1711	
960	960	-452	
961	961	571	
962	962	1237	
963	963	1021	
964	964	-951	
965	965	-1110	
966	966	-2714	
967	967	-1003	
968	968	-944	
969	969	287	
970	970	3521	
971	971	2780	
972	972	1332	
973	973	314	
974	974	1423	
975	975	1161	
976	976	827	
977	977	897	
978	978	842	
979	979	-31	
980	980	-738	
981	981	1856	
982	982	2548	
983	983	1605	
984	984	709	
985	985	-14	
986	986	-537	
987	987	-72	
988	988	-163	
989	989	-1503	
990	990	56	
991	991	1087	
992	992	-334	
993	993	2335	
994	994	2629	
995	995	-224	
996	996	-525	
997	997	-1599	
998	998	100	
999	999	-1674	
1000	1000	-1711	
1001	1001	-800	
1002	1002	-1156	
1003	1003	-208	
1004	1004	-1457	
1005	1005	-2344	
1006	1006	-1877	
1007	1007	-631	
1008	1008	-455	
1009	1009	-2249	
1010	1010	-3010	
1011	1011	-2361	
1012	1012	-1182	
1013	1013	781	
1014	1014	1398	
1015	1015	1299	
1016	1016	1651	
1017	1017	1633	
1018	1018	293	
1019	1019	1025	
1020	1020	1495	
1021	1021	-155	
1022	1022	-658	
1023	1023	-1547	
1024	1024	-2475	
1025	1025	-1322	
1026	1026	-1929	
1027	1027	-1796	
1028	1028	995	
1029	1029	1646	
1030	1030	3979	
1031	1031	5394	
1032	1032	5231	
1033	1033	5768	
1034	1034	3247	
1035	1035	2116	
1036	1036	1458	
1037	1037	-797	
1038	1038	-1315	
1039	1039	-1808	
1040	1040	-2062	
1041	1041	-233	
1042	1042	-173	
1043	1043	-956	
1044	1044	351	
1045	1045	403	
1046	1046	591	
1047	1047	1728	
1048	1048	2523	
1049	1049	2030	
1050	1050	896	
1051	1051	-1334	
1052	1052	-2295	
1053	1053	-1011	
1054	1054	-413	
1055	1055	-1201	
1056	1056	-2372	
1057	1057	-2287	
1058	1058	-1183	
1059	1059	-1476	
1060	1060	-580	
1061	1061	-1689	
1062	1062	-1851	
1063	1063	-28	
1064	1064	-1722	
1065	1065	-1917	
1066	1066	-2999	
1067	1067	-3	
1068	1068	1226	
1069	1069	-67	
1070	1070	2016	
1071	1071	1569	
1072	1072	-179	
1073	1073	615	
1074	1074	305	
1075	1075	-484	
1076	1076	-695	
1077	1077	-1276	
1078	1078	-562	
1079	1079	1504	
1080	1080	2617	
1081	1081	591	
1082	1082	715	
1083	1083	876	
1084	1084	585	
1085	1085	418	
1086	1086	1011	
1087	1087	1496	
1088	1088	-332	
1089	1089	-608	
1090	1090	795	
1091	1091	3328	
1092	1092	2467	
1093	1093	2209	
1094	1094	2112	
1095	1095	-622	
1096	1096	-838	
1097	1097	-2383	
1098	1098	-991	
1099	1099	-6	
1100	1100	965	
1101	1101	1186	
1102	1102	135	
1103	1103	-1034	
1104	1104	-1094	
1105	1105	-1126	
1106	1106	-1152	
1107	1107	-903	
1108	1108	-1338	
1109	1109	305	
1110	1110	299	
1111	1111	415	
1112	1112	-569	
1113	1113	-974	
1114	1114	452	
1115	1115	558	
1116	1116	-184	
1117	1117	-472	
1118	1118	-495	
1119	1119	-573	
1120	1120	-226	
1121	1121	-144	
1122	1122	-1454	
1123	1123	-564	
1124	1124	-4	
1125	1125	-437	
1126	1126	295	
1127	1127	1445	
1128	1128	1361	
1129	1129	953	
1130	1130	-473	
1131	1131	-818	
1132	1132	1352	
1133	1133	458	
1134	1134	678	
1135	1135	2602	
1136	1136	2369	
1137	1137	292	
1138	1138	529	
1139	1139	-289	
1140	1140	-1935	
1141	1141	-2355	
1142	1142	-1548	
1143	1143	-1062	
1144	1144	-1407	
1145	1145	-1083	
1146	1146	-2329	
1147	1147	-3615	
1148	1148	-2507	
1149	1149	-1106	
1150	1150	-675	
1151	1151	-1240	
1152	1152	-1734	
1153	1153	68	
1154	1154	1432	
1155	1155	1951	
1156	1156	1342	
1157	1157	3000	
1158	1158	1673	
1159	1159	1481	
1160	1160	894	
1161	1161	213	
1162	1162	453	
1163	1163	-571	
1164	1164	96	
1165	1165	-891	
1166	1166	-207	
1167	1167	-1081	
1168	1168	-319	
1169	1169	-1061	
1170	1170	-602	
1171	1171	-948	
1172	1172	-863	
1173	1173	-929	
1174	1174	-1052	
1175	1175	-821	
1176	1176	-1088	
1177	1177	-755	
1178	1178	-995	
1179	1179	-666	
1180	1180	-803	
1181	1181	-455	
1182	1182	-653	
1183	1183	-233	
1184	1184	-265	
1185	1185	132	
1186	1186	232	
1187	1187	582	
1188	1188	720	
1189	1189	1183	
1190	1190	1494	
1191	1191	1905	
1192	1192	2160	
1193	1193	2561	
1194	1194	2936	
1195	1195	3180	
1196	1196	3528	
1197	1197	3681	
1198	1198	3765	
1199	1199	3735	
1200	1200	3573	
1201	1201	3092	
1202	1202	2616	
1203	1203	1700	
1204	1204	814	
1205	1205	-501	
1206	1206	-1691	
1207	1207	-3014	
1208	1208	-4107	
1209	1209	-5010	
1210	1210	-5619	
1211	1211	-5799	
1212	1212	-5493	
1213	1213	-4818	
1214	1214	-3757	
1215	1215	-2196	
1216	1216	-612	
1217	1217	1029	
1218	1218	2468	
1219	1219	3488	
1220	1220	3843	
1221	1221	3599	
1222	1222	2644	
1223	1223	936	
1224	1224	-910	
1225	1225	-2525	
1226	1226	-3389	
1227	1227	-3499	
1228	1228	-2611	
1229	1229	-967	
1230	1230	841	
1231	1231	2429	
1232	1232	3378	
1233	1233	3419	
1234	1234	2414	
1235	1235	725	
1236	1236	-1253	
1237	1237	-2370	
1238	1238	-2315	
1239	1239	-1177	
1240	1240	588	
1241	1241	2299	
1242	1242	2996	
1243	1243	2702	
1244	1244	1249	
1245	1245	-674	
1246	1246	-1900	
1247	1247	-1771	
1248	1248	-377	
1249	1249	1240	
1250	1250	2376	
1251	1251	2292	
1252	1252	982	
1253	1253	-918	
1254	1254	-1885	
1255	1255	-1370	
1256	1256	196	
1257	1257	1633	
1258	1258	1991	
1259	1259	910	
1260	1260	-886	
1261	1261	-1919	
1262	1262	-1260	
1263	1263	360	
1264	1264	1572	
1265	1265	1356	
1266	1266	-205	
1267	1267	-1718	
1268	1268	-1648	
1269	1269	-161	
1270	1270	1170	
1271	1271	1176	
1272	1272	-311	
1273	1273	-1793	
1274	1274	-1576	
1275	1275	-20	
1276	1276	1274	
1277	1277	669	
1278	1278	-1053	
1279	1279	-1824	
1280	1280	-801	
1281	1281	742	
1282	1282	911	
1283	1283	-503	
1284	1284	-1750	
1285	1285	-978	
1286	1286	606	
1287	1287	1033	
1288	1288	-400	
1289	1289	-1710	
1290	1290	-851	
1291	1291	815	
1292	1292	904	
1293	1293	-703	
1294	1294	-1534	
1295	1295	-139	
1296	1296	1213	
1297	1297	530	
1298	1298	-1220	
1299	1299	-1028	
1300	1300	684	
1301	1301	1167	
1302	1302	-414	
1303	1303	-1237	
1304	1304	325	
1305	1305	1404	
1306	1306	150	
1307	1307	-1074	
1308	1308	-72	
1309	1309	1287	
1310	1310	469	
1311	1311	-929	
1312	1312	-37	
1313	1313	1355	
1314	1314	629	
1315	1315	-878	
1316	1316	68	
1317	1317	1372	
1318	1318	291	
1319	1319	-907	
1320	1320	461	
1321	1321	1341	
1322	1322	-151	
1323	1323	-849	
1324	1324	930	
1325	1325	944	
1326	1326	-704	
1327	1327	-382	
1328	1328	1307	
1329	1329	168	
1330	1330	-953	
1331	1331	500	
1332	1332	988	
1333	1333	-825	
1334	1334	-448	
1335	1335	1115	
1336	1336	-90	
1337	1337	-988	
1338	1338	681	
1339	1339	460	
1340	1340	-1181	
1341	1341	119	
1342	1342	876	
1343	1343	-1027	
1344	1344	-456	
1345	1345	893	
1346	1346	-764	
1347	1347	-764	
1348	1348	838	
1349	1349	-471	
1350	1350	-913	
1351	1351	751	
1352	1352	-378	
1353	1353	-1060	
1354	1354	703	
1355	1355	-358	
1356	1356	-1036	
1357	1357	777	
1358	1358	-427	
1359	1359	-943	
1360	1360	731	
1361	1361	-492	
1362	1362	-868	
1363	1363	877	
1364	1364	-662	
1365	1365	-459	
1366	1366	827	
1367	1367	-945	
1368	1368	62	
1369	1369	686	
1370	1370	-1033	
1371	1371	646	
1372	1372	317	
