Sample in Buffer	Sample in Window	ADC4_D
0	0	-1064	
1	1	435	
2	2	-949	
3	3	-692	
4	4	-235	
5	5	-514	
6	6	-250	
7	7	673	
8	8	-1135	
9	9	-3052	
10	10	-2026	
11	11	-2558	
12	12	-788	
13	13	-1019	
14	14	-1131	
15	15	-1131	
16	16	-1014	
17	17	-1140	
18	18	337	
19	19	2552	
20	20	1241	
21	21	620	
22	22	-128	
23	23	-743	
24	24	837	
25	25	17	
26	26	-40	
27	27	-123	
28	28	-459	
29	29	588	
30	30	773	
31	31	1025	
32	32	2020	
33	33	1501	
34	34	1047	
35	35	1715	
36	36	1680	
37	37	2518	
38	38	4067	
39	39	4658	
40	40	4216	
41	41	1508	
42	42	-201	
43	43	26	
44	44	-2130	
45	45	-3526	
46	46	-3922	
47	47	-2327	
48	48	-1985	
49	49	-1887	
50	50	745	
51	51	1155	
52	52	-736	
53	53	-878	
54	54	-1120	
55	55	-1808	
56	56	-2339	
57	57	-1506	
58	58	-1301	
59	59	-1488	
60	60	-595	
61	61	131	
62	62	-79	
63	63	-377	
64	64	-409	
65	65	-47	
66	66	1700	
67	67	1783	
68	68	301	
69	69	458	
70	70	990	
71	71	364	
72	72	527	
73	73	-1023	
74	74	-988	
75	75	358	
76	76	-457	
77	77	-445	
78	78	47	
79	79	-349	
80	80	-241	
81	81	-1492	
82	82	-1479	
83	83	-1098	
84	84	-924	
85	85	-71	
86	86	-1505	
87	87	1380	
88	88	2901	
89	89	1714	
90	90	1433	
91	91	2217	
92	92	4096	
93	93	2197	
94	94	1521	
95	95	1815	
96	96	583	
97	97	361	
98	98	-1379	
99	99	-1146	
100	100	-914	
101	101	-617	
102	102	-554	
103	103	-1042	
104	104	-33	
105	105	382	
106	106	-1344	
107	107	-809	
108	108	-653	
109	109	-281	
110	110	419	
111	111	-758	
112	112	-245	
113	113	1461	
114	114	1682	
115	115	744	
116	116	517	
117	117	-123	
118	118	479	
119	119	739	
120	120	-73	
121	121	-312	
122	122	114	
123	123	-993	
124	124	-1650	
125	125	-1755	
126	126	-1796	
127	127	-2758	
128	128	-1817	
129	129	803	
130	130	389	
131	131	-159	
132	132	637	
133	133	-719	
134	134	-2510	
